SKU,Product Name,Product Class,Product Category,Product Subcategory,Product Model#,Processor,Processor Description,GHz,Screen Size,RAM,Resolution,GPU,VRAM,HD,HD Type,Color,Carrier,Year,Model ID,UPC,Type,Spec,Charger
HEIWH-0238A,"Earjax BZ-ELS90-0611, In-Ear Lyrics, White",Headphone,In-Ear,Lyrics,BZ-ELS90-0611,NA,NA,NA,NA,NA,,,,NA,NA,White,NA,,,,,,NA
ACNBK-0007A,"EnerPlex CA100USBLI, Adapter USB to Lightning, Black",Cable,Adapter,USB to Lightning,CA100USBLI,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
HEIBK-0239A,"Earjax BZ-EMY13-0611, In-Ear Moxy, Black/Blue",Headphone,In-Ear,Moxy,BZ-EMY13-0611,NA,NA,NA,NA,NA,,,,NA,NA,Black/Blue,NA,,,,,,NA
APWNA-0025A,"Evertek ADA-BLK-ZY-1000, Adapter USB Power, Black",Cable,Adapter,USB Power,ADA-BLK-ZY-1000,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
APWNA-0026A,"Evertek ADA-WHT-ZY-1000, Adapter USB Power, White",Cable,Adapter,USB Power,ADA-WHT-ZY-1000,NA,NA,NA,NA,NA,,,,NA,NA,White,NA,,,,,,NA
ACHGN-0016A,"Press Play PP1011FC/LGR, Lightning 3.3 FT, Green",Cable,Lightning,3.3 FT,PP1011FC/LGR,NA,NA,NA,NA,NA,,,,NA,NA,Green,NA,,,,,,NA
ACHOR-0017A,"Press Play PP1011FC/ORG, Lightning 3.3 FT, Orange",Cable,Lightning,3.3 FT,PP1011FC/ORG,NA,NA,NA,NA,NA,,,,NA,NA,Orange,NA,,,,,,NA
ACHPK-0018A,"Press Play PP1011FC/ABL, Lightning 3.3 FT, Blue",Cable,Lightning,3.3 FT,PP1011FC/ABL,NA,NA,NA,NA,NA,,,,NA,NA,Blue,NA,,,,,,NA
ACHPU-0019A,"Press Play PP1011FC/PUR, Lightning 3.3 FT, Purple",Cable,Lightning,3.3 FT,PP1011FC/PUR,NA,NA,NA,NA,NA,,,,NA,NA,Purple,NA,,,,,,NA
CPDNA-0052A,"Targus CAR-THZ187US, iPad Air 1, Black",Case,iPad,Air 1,CAR-THZ187US,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
CPDNA-0053A,"Targus KYB-THZ192US, iPad Keyboard Air 1, Black",Case,iPad Keyboard,Air 1,KYB-THZ192US,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
CPDNA-0054A,"Targus CAR-BUS34203, iPad Air 1, Blue/Tan",Case,iPad,Air 1,CAR-BUS34203,NA,NA,NA,NA,NA,,,,NA,NA,Blue/Tan,NA,,,,,,NA
CPOBK-0135A,"WirelessOne CR-IPHONE5C-BK/BL, iPhone 5c, Black/Blue",Case,iPhone,5c,CR-IPHONE5C-BK/BL,NA,NA,NA,NA,NA,,,,NA,NA,Black/Blue,NA,,,,,,NA
CPOBK-0187A,"WirelessOne NC-IPHONE6(5.5)-CL/BK, iPhone 6+, Black Trim",Case,iPhone,6+,NC-IPHONE6(5.5)-CL/BK,NA,NA,NA,NA,NA,,,,NA,NA,Black Trim,NA,,,,,,NA
CPOBK-0193A,"WirelessOne CR-IPHONE6(5.5)-BK/BK, iPhone 6+, Black/Black",Case,iPhone,6+,CR-IPHONE6(5.5)-BK/BK,NA,NA,NA,NA,NA,,,,NA,NA,Black/Black,NA,,,,,,NA
CPOBK-0194A,"WirelessOne CR-IPHONE6(5.5)-BL/BK, iPhone 6+, Black/Blue",Case,iPhone,6+,CR-IPHONE6(5.5)-BL/BK,NA,NA,NA,NA,NA,,,,NA,NA,Black/Blue,NA,,,,,,NA
CPOBK-0198A,"WirelessOne EC-IPHONE6(5.5)-BK, iPhone 6+, Black",Case,iPhone,6+,EC-IPHONE6(5.5)-BK,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
CPOBK-0202A,"WirelessOne GZ-IPHONE6(5.5)-BK/BK, iPhone 6+, Black/Black",Case,iPhone,6+,GZ-IPHONE6(5.5)-BK/BK,NA,NA,NA,NA,NA,,,,NA,NA,Black/Black,NA,,,,,,NA
CPOBU-0136A,"WirelessOne CR-IPHONE5C-BL/WH, iPhone 5c, Blue/White",Case,iPhone,5c,CR-IPHONE5C-BL/WH,NA,NA,NA,NA,NA,,,,NA,NA,Blue/White,NA,,,,,,NA
CPOBU-0188A,"WirelessOne NC-IPHONE6(5.5)-CL/BL, iPhone 6+, Blue Trim",Case,iPhone,6+,NC-IPHONE6(5.5)-CL/BL,NA,NA,NA,NA,NA,,,,NA,NA,Blue Trim,NA,,,,,,NA
CPOBU-0191A,"WirelessOne NC-IPHONE6(5.5)-CL/TBL, iPhone 6+, Teal Trim",Case,iPhone,6+,NC-IPHONE6(5.5)-CL/TBL,NA,NA,NA,NA,NA,,,,NA,NA,Teal Trim,NA,,,,,,NA
CPOBU-0203A,"WirelessOne GZ-IPHONE6(5.5)-BL/BK, iPhone 6+, Blue/Black",Case,iPhone,6+,GZ-IPHONE6(5.5)-BL/BK,NA,NA,NA,NA,NA,,,,NA,NA,Blue/Black,NA,,,,,,NA
CPOGN-0189A,"WirelessOne NC-IPHONE6(5.5)-CL/GRN, iPhone 6+, Green Trim",Case,iPhone,6+,NC-IPHONE6(5.5)-CL/GRN,NA,NA,NA,NA,NA,,,,NA,NA,Green Trim,NA,,,,,,NA
CPOGY-0195A,"WirelessOne CR-IPHONE6(5.5)-GRY/YW, iPhone 6+, Grey/Yellow",Case,iPhone,6+,CR-IPHONE6(5.5)-GRY/YW,NA,NA,NA,NA,NA,,,,NA,NA,Grey/Yellow,NA,,,,,,NA
CPOGY-0204A,"WirelessOne GZ-IPHONE6(5.5)-GRY/PK, iPhone 6+, Grey/Pink",Case,iPhone,6+,GZ-IPHONE6(5.5)-GRY/PK,NA,NA,NA,NA,NA,,,,NA,NA,Grey/Pink,NA,,,,,,NA
CPOGY-0205A,"WirelessOne GZ-IPHONE6(5.5)-GRY/YW, iPhone 6+, Grey/Yellow",Case,iPhone,6+,GZ-IPHONE6(5.5)-GRY/YW,NA,NA,NA,NA,NA,,,,NA,NA,Grey/Yellow,NA,,,,,,NA
CPOPK-0190A,"WirelessOne NC-IPHONE6(5.5)-CL/PK, iPhone 6+, Pink Trim",Case,iPhone,6+,NC-IPHONE6(5.5)-CL/PK,NA,NA,NA,NA,NA,,,,NA,NA,Pink Trim,NA,,,,,,NA
CPOPK-0196A,"WirelessOne CR-IPHONE6(5.5)-PK/GRY, iPhone 6+, Pink/Grey",Case,iPhone,6+,CR-IPHONE6(5.5)-PK/GRY,NA,NA,NA,NA,NA,,,,NA,NA,Pink/Grey,NA,,,,,,NA
CPOPK-0200A,"WirelessOne EC-IPHONE6(5.5)-PK, iPhone 6+, Pink",Case,iPhone,6+,EC-IPHONE6(5.5)-PK,NA,NA,NA,NA,NA,,,,NA,NA,Pink,NA,,,,,,NA
CPOWH-0192A,"WirelessOne NC-IPHONE6(5.5)-CL/WH, iPhone 6+, White Trim",Case,iPhone,6+,NC-IPHONE6(5.5)-CL/WH,NA,NA,NA,NA,NA,,,,NA,NA,White Trim,NA,,,,,,NA
CPOWH-0197A,"WirelessOne CR-IPHONE6(5.5)-WH/WH, iPhone 6+, White/White",Case,iPhone,6+,CR-IPHONE6(5.5)-WH/WH,NA,NA,NA,NA,NA,,,,NA,NA,White/White,NA,,,,,,NA
